"","AddressCodeID","HouseNumber","StreetDorm","City","AddressNote","Latitude","Longitude","address"
"60",80,343,"Beakes St.","Ann Arbor","",NA,NA,"343 Beakes St."
"61",81,351,"Beakes St.","Ann Arbor","",NA,NA,"351 Beakes St."
"62",1025,318,"Beakes St.","Ann Arbor","",42.286351,-83.74502,"318 Beakes St."
"63",82,1315,"Beal Ave.","Ann Arbor","",NA,NA,"1315 Beal Ave."
"64",83,1587,"Beal Ave.","Ann Arbor","",NA,NA,"1587 Beal Ave."
"65",84,1647,"Beal Ave.","Ann Arbor","",NA,NA,"1647 Beal Ave."
"66",85,1825,"Beal Ave.","Ann Arbor","",NA,NA,"1825 Beal Ave."
"67",90,525,"Benjamin St.","Ann Arbor","",NA,NA,"525 Benjamin St."
"68",91,402,"Benjamin St.","Ann Arbor","",NA,NA,"402 Benjamin St."
"69",93,12,"Best Hall","Ann Arbor","",NA,NA,"12 Best Hall"
"70",5,NA,"Betsy Barbour","Ann Arbor","dorm",NA,NA,"Betsy Barbour"
"71",96,NA,"Biological Station","Ann Arbor","",NA,NA,"Biological Station"
"72",97,2982,"Birch Hollow","Ann Arbor","",NA,NA,"2982 Birch Hollow"
"73",128,4020,"Birch Hollow","Ann Arbor","",NA,NA,"4020 Birch Hollow"
"74",98,2323,"Bishop St.","Ann Arbor","",NA,NA,"2323 Bishop St."
"75",99,2361,"Bishop St.","Ann Arbor","",NA,NA,"2361 Bishop St."
"76",100,2385,"Bishop St.","Ann Arbor","",NA,NA,"2385 Bishop St."
"77",102,2403,"Bishop St.","Ann Arbor","",NA,NA,"2403 Bishop St."
"78",103,2414,"Bishop St.","Ann Arbor","",NA,NA,"2414 Bishop St."
"79",147,2394,"Bishop St.","Ann Arbor","",NA,NA,"2394 Bishop St."
"80",104,422,"Blakely Court","Ann Arbor","",NA,NA,"422 Blakely Court"
"81",105,3157,"Bluett Road","Ann Arbor","",NA,NA,"3157 Bluett Road"
"82",107,2797,"Braeburn Circle","Ann Arbor","",NA,NA,"2797 Braeburn Circle"
"83",108,2885,"Braeburn Circle","Ann Arbor","",NA,NA,"2885 Braeburn Circle"
"84",109,3082,"Braeburn Circle","Ann Arbor","",NA,NA,"3082 Braeburn Circle"
"85",110,3151,"Braeburn Circle","Ann Arbor","",NA,NA,"3151 Braeburn Circle"
"86",111,3245,"Braeburn Circle","Ann Arbor","",NA,NA,"3245 Braeburn Circle"
"87",2161,2513,"Braeburn Circle","Ann Arbor","",NA,NA,"2513 Braeburn Circle"
"88",113,1743,"Broadside St.","Ann Arbor","",NA,NA,"1743 Broadside St."
"89",114,1210,"Broadway St.","Ann Arbor","",42.290752,-83.73557,"1210 Broadway St."
"90",148,1203,"Brooklyn Ave.","Ann Arbor","",NA,NA,"1203 Brooklyn Ave."
"91",116,745,"Brooks St.","Ann Arbor","",NA,NA,"745 Brooks St."
"92",117,448,"Brookside Dr. ","Ann Arbor","",NA,NA,"448 Brookside Dr. "
"93",118,818,"Brown St.","Ann Arbor","",NA,NA,"818 Brown St."
"94",119,819,"Brown St.","Ann Arbor","",NA,NA,"819 Brown St."
"95",120,823,"Brown St.","Ann Arbor","",NA,NA,"823 Brown St."
"96",121,824,"Brown St.","Ann Arbor","",NA,NA,"824 Brown St."
"97",122,829,"Brown St.","Ann Arbor","",NA,NA,"829 Brown St."
"98",123,834,"Brown St.","Ann Arbor","",NA,NA,"834 Brown St."
"99",125,917,"Brown St.","Ann Arbor","",42.269689,-83.74832,"917 Brown St."
"100",126,818,"Browns St.","Ann Arbor","",NA,NA,"818 Browns St."
"101",127,2939,"Buena Vista Ave.","Ann Arbor","",NA,NA,"2939 Buena Vista Ave."
"102",7,NA,"Bursley","Ann Arbor","dorm",42.293935,-83.7205,"Bursley"
"103",7.1,NA,"Bursley - Bartlett","Ann Arbor","dorm",NA,NA,"Bursley - Bartlett"
"104",7.2,NA,"Bursley - Douglas","Ann Arbor","dorm",NA,NA,"Bursley - Douglas"
"105",7.8,NA,"Bursley - Hamilton","Ann Arbor","dorm",NA,NA,"Bursley - Hamilton"
"106",7.3,NA,"Bursley - Lewis","Ann Arbor","dorm",NA,NA,"Bursley - Lewis"
"107",7.4,NA,"Bursley - Rotvig","Ann Arbor","",NA,NA,"Bursley - Rotvig"
"108",7.5,NA,"Bursley - Sanford","Ann Arbor","dorm",NA,NA,"Bursley - Sanford"
"109",7.6,NA,"Bursley - Van Duren","Ann Arbor","dorm",NA,NA,"Bursley - Van Duren"
"110",7.7,NA,"Bursley - VanHoosen","Ann Arbor","dorm",NA,NA,"Bursley - VanHoosen"
"111",132,1113,"Bvdding Rd.","Ann Arbor","",NA,NA,"1113 Bvdding Rd."
"112",133,1117,"Bydding Rd.","Ann Arbor","",NA,NA,"1117 Bydding Rd."
"113",134,1125,"Bydding Rd.","Ann Arbor","",NA,NA,"1125 Bydding Rd."
"114",138,1502,"Cambridge Rd.","Ann Arbor","",42.270246,-83.72958,"1502 Cambridge Rd."
"115",139,1415,"Cambridge Rd.","Ann Arbor","",NA,NA,"1415 Cambridge Rd."
"116",137,1722,"Cambridge St.","Ann Arbor","",NA,NA,"1722 Cambridge St."
"117",1026,NA,"Catherine and Glen","Ann Arbor","",NA,NA,"Catherine and Glen"
"118",21,1009,"Catherine St.","Ann Arbor","",42.283559,-83.73639,"1009 Catherine St."
"119",146,1005,"Catherine St.","Ann Arbor","",42.283457,-83.7367,"1005 Catherine St."
"120",149,1000,"Catherine St.","Ann Arbor","",42.282834,-83.73695,"1000 Catherine St."
"121",150,1004,"Catherine St.","Ann Arbor","",42.282736,-83.73695,"1004 Catherine St."
"122",151,1013,"Catherine St.","Ann Arbor","",NA,NA,"1013 Catherine St."
"123",152,1015,"Catherine St.","Ann Arbor","",42.283531,-83.73613,"1015 Catherine St."
"124",153,1017,"Catherine St.","Ann Arbor","",42.283557,-83.73568,"1017 Catherine St."
"125",155,1027,"Catherine St.","Ann Arbor","",42.283584,-83.73613,"1027 Catherine St."
"126",156,1028,"Catherine St.","Ann Arbor","",NA,NA,"1028 Catherine St."
"127",157,1065,"Catherine St.","Ann Arbor","",NA,NA,"1065 Catherine St."
"128",158,1109,"Catherine St.","Ann Arbor","",NA,NA,"1109 Catherine St."
"129",160,1115,"Catherine St.","Ann Arbor","",42.283679,-83.7345,"1115 Catherine St."
"130",161,1136,"Catherine St.","Ann Arbor","",42.283466,-83.73358,"1136 Catherine St."
"131",162,506,"Catherine St.","Ann Arbor","",42.282818,-83.74258,"506 Catherine St."
"132",163,602,"Catherine St.","Ann Arbor","",NA,NA,"602 Catherine St."
"133",165,809,"Catherine St.","Ann Arbor","",NA,NA,"809 Catherine St."
"134",166,918,"Catherine St.","Ann Arbor","",NA,NA,"918 Catherine St."
"135",507,1021,"Catherine St.","Ann Arbor","",42.283198,-83.73408,"1021 Catherine St."
"136",508,517,"Catherine St.","Ann Arbor","",NA,NA,"517 Catherine St."
"137",1027,1024,"Catherine St.","Ann Arbor","",NA,NA,"1024 Catherine St."
"138",1028,1075,"Catherine St.","Ann Arbor","",42.283201,-83.73378,"1075 Catherine St."
"139",1029,1110,"Catherine St.","Ann Arbor","",NA,NA,"1110 Catherine St."
"140",1030,1809,"Catherine St.","Ann Arbor","",NA,NA,"1809 Catherine St."
"141",2126,335,"Catherine St.","Ann Arbor","",NA,NA,"335 Catherine St."
"142",2179,315,"Catherine St.","Ann Arbor","",NA,NA,"315 Catherine St."
"143",1031,1302,"Cedar Bend","Ann Arbor","",NA,NA,"1302 Cedar Bend"
"144",1033,203,"Charles St.","Ann Arbor","",NA,NA,"203 Charles St."
"145",1034,510,"Cheever Ct.","Ann Arbor","",NA,NA,"510 Cheever Ct."
"146",1036,309,"Cherry St.","Ann Arbor","",NA,NA,"309 Cherry St."
"147",1037,3147,"Cherrytree Lane","Ann Arbor","",NA,NA,"3147 Cherrytree Lane"
"148",546,925,"Church St.","Ann Arbor","",NA,NA,"925 Church St."
"149",553,1019,"Church St.","Ann Arbor","",NA,NA,"1019 Church St."
"150",554,1127,"Church St.","Ann Arbor","",NA,NA,"1127 Church St."
"151",555,511,"Church St.","Ann Arbor","",NA,NA,"511 Church St."
"152",556,543,"Church St.","Ann Arbor","",NA,NA,"543 Church St."
"153",1041,1014,"Church St.","Ann Arbor","",NA,NA,"1014 Church St."
"154",1042,1121,"Church St.","Ann Arbor","",NA,NA,"1121 Church St."
"155",1043,1511,"Church St.","Ann Arbor","",NA,NA,"1511 Church St."
"156",1044,415,"Church St.","Ann Arbor","",42.277086,-83.73446,"415 Church St."
"157",1045,527,"Church St.","Ann Arbor","",NA,NA,"527 Church St."
"158",1046,616,"Church St.","Ann Arbor","",NA,NA,"616 Church St."
"159",1047,619,"Church St.","Ann Arbor","",NA,NA,"619 Church St."
"160",1048,621,"Church St.","Ann Arbor","",NA,NA,"621 Church St."
"161",1049,625,"Church St.","Ann Arbor","",NA,NA,"625 Church St."
"162",1050,709,"Church St.","Ann Arbor","",NA,NA,"709 Church St."
"163",1051,715,"Church St.","Ann Arbor","",NA,NA,"715 Church St."
"164",2227,1101,"Church St.","Ann Arbor","",NA,NA,"1101 Church St."
"165",557,725,"Church St.","Ann Arbor","Graduate League House, 1946-c.1955, took international and black students",NA,NA,"725 Church St."
"166",552,543,"Church St. ","Ann Arbor","",NA,NA,"543 Church St. "
"167",1039,616,"Church St. ","Ann Arbor","",NA,NA,"616 Church St. "
"168",1052,1115,"Clague St.","Ann Arbor","",NA,NA,"1115 Clague St."
"169",1054,NA,"(Clark St.)","Ann Arbor","Neuropsychopathic Institute ",NA,NA,"(Clark St.)"
"170",2110,391,"Cloverdale St.","Ann Arbor","",NA,NA,"391 Cloverdale St."
"171",1056,2015,"Commerce Drive","Ann Arbor","",NA,NA,"2015 Commerce Drive"
"172",1057,2025,"Commerce Drive","Ann Arbor","",NA,NA,"2025 Commerce Drive"
"173",1058,2045,"Commerce Drive","Ann Arbor","",NA,NA,"2045 Commerce Drive"
"174",1059,2407,"Concord Rd.","Ann Arbor","",NA,NA,"2407 Concord Rd."
"175",1060,NA,"corner of 13th and Hickory Sts.","Ann Arbor","",NA,NA,"corner of 13th and Hickory Sts."
"176",558,NA,"Corner of 14th and Washington","Ann Arbor","",42.280305,-83.73353,"Corner of 14th and Washington"
"177",1061,NA,"Corner of Ann and 13th","Ann Arbor","",NA,NA,"Corner of Ann and 13th"
"178",1062,NA,"corner of Catherine and Ingalls","Ann Arbor","",42.28312,-83.73854,"corner of Catherine and Ingalls"
"179",1063,NA,"corner of Fourth and Williams","Ann Arbor","",NA,NA,"corner of Fourth and Williams"
"180",2207,NA,"corner of Hill and Washtenaw","Ann Arbor","",NA,NA,"corner of Hill and Washtenaw"
"181",1064,NA,"Corner of Ingalls and Monroe","Ann Arbor","",NA,NA,"Corner of Ingalls and Monroe"
"182",1065,NA,"Corner of St. and Madison","Ann Arbor","",NA,NA,"Corner of St. and Madison"
"183",1066,NA,"Corner of State and Huron Sts.","Ann Arbor","",NA,NA,"Corner of State and Huron Sts."
"184",1068,1008,"Cornwell Place","Ann Arbor","Phi Rho Sigma House, 1900-1905",NA,NA,"1008 Cornwell Place"
"185",15,NA,"Couzens Hall","Ann Arbor","dorm",42.282068,-83.73191,"Couzens Hall"
"186",559,1630,"Cram Circle","Ann Arbor","",NA,NA,"1630 Cram Circle"
"187",1071,1097,"Cram Circle","Ann Arbor","",NA,NA,"1097 Cram Circle"
"188",1072,1639,"Cram Circle","Ann Arbor","",NA,NA,"1639 Cram Circle"
"189",1073,1666,"Cram Circle","Ann Arbor","",NA,NA,"1666 Cram Circle"
"190",1074,16977,"Cram Circle","Ann Arbor","",NA,NA,"1697-7 Cram Circle"
"191",1075,2155,"Cram Circle","Ann Arbor","",NA,NA,"2155 Cram Circle"
"192",2177,2231,"Cram Circle","Ann Arbor","",NA,NA,"2231 Cram Circle"
"193",1076,1666,"Cram Cirlce","Ann Arbor","",NA,NA,"1666 Cram Cirlce"
"194",560,2155,"Cram Place","Ann Arbor","",NA,NA,"2155 Cram Place"
"195",562,2170,"Cram Place","Ann Arbor","",NA,NA,"2170 Cram Place"
"196",1077,212,"Cram Place","Ann Arbor","",NA,NA,"212 Cram Place"
"197",1078,215523,"Cram Place","Ann Arbor","",NA,NA,"2155-23 Cram Place"
"198",1079,2210,"Cram Place","Ann Arbor","",NA,NA,"2210 Cram Place"
"199",1080,2249,"Cram Place","Ann Arbor","",NA,NA,"2249 Cram Place"
"200",1081,2250,"Cram Place","Ann Arbor","",NA,NA,"2250 Cram Place"
"201",1082,2515,"Cram Place","Ann Arbor","",NA,NA,"2515 Cram Place"
"202",1083,615,"Cressfield Lane","Ann Arbor","",NA,NA,"615 Cressfield Lane"
"203",1087,812,"Daniels St.","Ann Arbor","",NA,NA,"812 Daniels St."
"204",1088,1629,"Darian Ct.","Ann Arbor","",NA,NA,"1629 Darian Ct."
"205",288,516,"Detroit St.","Ann Arbor","",42.285222,-83.74449,"516 Detroit St."
"206",289,520,"Detroit St.","Ann Arbor","",42.28528,-83.74437,"520 Detroit St."
"207",1094,501,"Detroit St.","Ann Arbor","",NA,NA,"501 Detroit St."
"208",1095,920,"Detroit St.","Ann Arbor","",42.286948,-83.74361,"920 Detroit St."
"209",1096,913,"Dewey  St.","Ann Arbor","",NA,NA,"913 Dewey  St."
"210",2069,819,"Dewey  St.","Ann Arbor","",NA,NA,"819 Dewey  St."
"211",290,939,"Dewey St.","Ann Arbor","",NA,NA,"939 Dewey St."
"212",1097,943,"Dewey St.","Ann Arbor","",NA,NA,"943 Dewey St."
"213",1098,945,"Dewey St.","Ann Arbor","",NA,NA,"945 Dewey St."
"214",1099,3870,"Dexter Rd.","Ann Arbor","",NA,NA,"3870 Dexter Rd."
"215",1100,335,"Division St.","Ann Arbor","",NA,NA,"335 Division St."
"216",1101,919,"Division St.","Ann Arbor","",NA,NA,"919 Division St."
"217",1102,305,"Doty St.","Ann Arbor","",NA,NA,"305 Doty St."
"218",1105,925,"Duncan St.","Ann Arbor","",NA,NA,"925 Duncan St."
"219",1107,1009,"E. 12th St.","Ann Arbor","",NA,NA,"1009 E. 12th St."
"220",291,1009,"E. Ann St.","Ann Arbor","",42.282496,-83.73668,"1009 E. Ann St."
"221",551,1136,"E. Ann St.","Ann Arbor","",NA,NA,"1136 E. Ann St."
"222",564,1122,"E. Ann St.","Ann Arbor","",NA,NA,"1122 E. Ann St."
"223",566,1200,"E. Ann St.","Ann Arbor","",42.282321,-83.73338,"1200 E. Ann St."
"224",568,503,"E. Ann St.","Ann Arbor","",NA,NA,"503 E. Ann St."
"225",569,710,"E. Ann St.","Ann Arbor","",NA,NA,"710 E. Ann St."
"226",570,811,"E. Ann St.","Ann Arbor","",NA,NA,"811 E. Ann St."
"227",1109,1004,"E. Ann St.","Ann Arbor","",NA,NA,"1004 E. Ann St."
"228",1110,1015,"E. Ann St.","Ann Arbor","",NA,NA,"1015 E. Ann St."
"229",1111,1126,"E. Ann St.","Ann Arbor","",42.282015,-83.73408,"1126 E. Ann St."
"230",1112,115,"E. Ann St.","Ann Arbor","",NA,NA,"115 E. Ann St."
"231",1113,121,"E. Ann St.","Ann Arbor","",NA,NA,"121 E. Ann St."
"232",1114,13,"E. Ann St.","Ann Arbor","",42.282353,-83.74829,"13 E. Ann St."
"233",1115,1313,"E. Ann St.","Ann Arbor","",NA,NA,"1313 E. Ann St."
"234",1116,311,"E. Ann St.","Ann Arbor","",NA,NA,"311 E. Ann St."
"235",1117,330,"E. Ann St.","Ann Arbor","",NA,NA,"330 E. Ann St."
"236",1118,501,"E. Ann St.","Ann Arbor","",NA,NA,"501 E. Ann St."
"237",1119,507,"E. Ann St.","Ann Arbor","",NA,NA,"507 E. Ann St."
"238",1120,815,"E. Ann St.","Ann Arbor","",NA,NA,"815 E. Ann St."
"239",1121,820,"E. Ann St.","Ann Arbor","",NA,NA,"820 E. Ann St."
"240",1122,85,"E. Ann St.","Ann Arbor","",NA,NA,"85 E. Ann St."
"241",2130,117,"E. Ann St.","Ann Arbor","",42.282585,-83.74767,"117 E. Ann St."
"242",2146,606,"E. Ann St.","Ann Arbor","",NA,NA,"606 E. Ann St."
"243",292,1102,"E. Ann St.","Ann Arbor","Black women's student housing ",42.282273,-83.73486,"1102 E. Ann St."
"244",567,335,"E. Ann St.","Ann Arbor","Michigan Socialist House Cooperative (Later Michigan House Cooperative) 1932 - 1947",42.282504,-83.7444,"335 E. Ann St."
"245",1108,808,"E. Ann St. ","Ann Arbor","",NA,NA,"808 E. Ann St. "
"246",167,112,"E. Davis St.","Ann Arbor","",NA,NA,"112 E. Davis St."
"247",170,217,"E. Franklin St.","Ann Arbor","",NA,NA,"217 E. Franklin St."
"248",175,121,"E. Hoover St.","Ann Arbor","",NA,NA,"121 E. Hoover St."
"249",176,144,"E. Hoover St.","Ann Arbor","",NA,NA,"144 E. Hoover St."
"250",177,146,"E. Hoover St.","Ann Arbor","",NA,NA,"146 E. Hoover St."
"251",178,415,"E. Hoover St.","Ann Arbor","",NA,NA,"415 E. Hoover St."
"252",179,511,"E. Hoover St.","Ann Arbor","",NA,NA,"511 E. Hoover St."
"253",180,605,"E. Hoover St.","Ann Arbor","",NA,NA,"605 E. Hoover St."
"254",181,1001,"E. Huron St.","Ann Arbor","",NA,NA,"1001 E. Huron St."
"255",183,1003,"E. Huron St.","Ann Arbor","",NA,NA,"1003 E. Huron St."
"256",184,1015,"E. Huron St.","Ann Arbor","",NA,NA,"1015 E. Huron St."
"257",185,1021,"E. Huron St.","Ann Arbor","",NA,NA,"1021 E. Huron St."
"258",186,1030,"E. Huron St.","Ann Arbor","",NA,NA,"1030 E. Huron St."
"259",187,1038,"E. Huron St.","Ann Arbor","",NA,NA,"1038 E. Huron St."
"260",188,1100,"E. Huron St.","Ann Arbor","",NA,NA,"1100 E. Huron St."
"261",189,1102,"E. Huron St.","Ann Arbor","",NA,NA,"1102 E. Huron St."
"262",190,1120,"E. Huron St.","Ann Arbor","",NA,NA,"1120 E. Huron St."
"263",191,1129,"E. Huron St.","Ann Arbor","",NA,NA,"1129 E. Huron St."
"264",192,515,"E. Huron St.","Ann Arbor","",NA,NA,"515 E. Huron St."
"265",193,713,"E. Huron St.","Ann Arbor","",NA,NA,"713 E. Huron St."
"266",194,805,"E. Huron St.","Ann Arbor","",NA,NA,"805 E. Huron St."
"267",195,903,"E. Huron St.","Ann Arbor","",NA,NA,"903 E. Huron St."
"268",196,913,"E. Huron St.","Ann Arbor","",NA,NA,"913 E. Huron St."
"269",197,917,"E. Huron St.","Ann Arbor","",NA,NA,"917 E. Huron St."
"270",198,921,"E. Huron St.","Ann Arbor","",42.281555,-83.73748,"921 E. Huron St."
"271",1293,93,"E. Huron St.","Ann Arbor","",NA,NA,"93 E. Huron St."
"272",2192,1007,"E. Huron St.","Ann Arbor","",NA,NA,"1007 E. Huron St."
"273",2193,902,"E. Huron St.","Ann Arbor","",NA,NA,"902 E. Huron St."
"274",28,1103,"E. Huron St.","Ann Arbor","Alpha Phi Alpha house",42.281408,-83.73523,"1103 E. Huron St."
"275",200,21,"E. Jefferson St.","Ann Arbor","",42.280022,-83.7312,"21 E. Jefferson St."
"276",201,300,"E. Jefferson St.","Ann Arbor","",42.276051,-83.7461,"300 E. Jefferson St."
"277",202,318,"E. Jefferson St.","Ann Arbor","",42.275849,-83.7454,"318 E. Jefferson St."
"278",203,331,"E. Jefferson St.","Ann Arbor","",NA,NA,"331 E. Jefferson St."
"279",204,332,"E. Jefferson St.","Ann Arbor","",NA,NA,"332 E. Jefferson St."
"280",206,402,"E. Jefferson St.","Ann Arbor","",NA,NA,"402 E. Jefferson St."
"281",207,405,"E. Jefferson St.","Ann Arbor","",NA,NA,"405 E. Jefferson St."
"282",208,500,"E. Jefferson St.","Ann Arbor","",NA,NA,"500 E. Jefferson St."
"283",209,515,"E. Jefferson St.","Ann Arbor","",NA,NA,"515 E. Jefferson St."
"284",2100,520,"E. Jefferson St.","Ann Arbor","",NA,NA,"520 E. Jefferson St."
"285",2236,325,"E. Jefferson St.","Ann Arbor","",NA,NA,"325 E. Jefferson St."
"286",205,338,"E. Jefferson St.","Ann Arbor","Osterweil House Cooperative 1946 - Present",NA,NA,"338 E. Jefferson St."
"287",210,711,"E. Kingsley St.","Ann Arbor","",NA,NA,"711 E. Kingsley St."
"288",212,215,"E. Kingsley St.","Ann Arbor","",NA,NA,"215 E. Kingsley St."
"289",213,713,"E. Kingsley St.","Ann Arbor","",42.285126,-83.74039,"713 E. Kingsley St."
"290",214,721,"E. Kingsley St.","Ann Arbor","",NA,NA,"721 E. Kingsley St."
"291",215,409,"E. Kingsley St.","Ann Arbor","",NA,NA,"409 E. Kingsley St."
"292",216,727,"E. Kingsley St.","Ann Arbor","",42.285283,-83.73985,"727 E. Kingsley St."
"293",217,426,"E. Kingsley St.","Ann Arbor","",NA,NA,"426 E. Kingsley St."
"294",218,803,"E. Kingsley St.","Ann Arbor","",NA,NA,"803 E. Kingsley St."
"295",219,708,"E. Kingsley St.","Ann Arbor","",NA,NA,"708 E. Kingsley St."
"296",220,809,"E. Kingsley St.","Ann Arbor","",NA,NA,"809 E. Kingsley St."
"297",222,813,"E. Kingsley St.","Ann Arbor","",NA,NA,"813 E. Kingsley St."
"298",706,407,"E. Kingsley St.","Ann Arbor","",42.285011,-83.74336,"407 E. Kingsley St."
"299",2123,209,"E. Kingsley St.","Ann Arbor","",NA,NA,"209 E. Kingsley St."
"300",223,310,"E. Liberty St.","Ann Arbor","",NA,NA,"310 E. Liberty St."
"301",224,315,"E. Liberty St.","Ann Arbor","",NA,NA,"315 E. Liberty St."
"302",225,326,"E. Liberty St.","Ann Arbor","",NA,NA,"326 E. Liberty St."
"303",226,410,"E. Liberty St.","Ann Arbor","",NA,NA,"410 E. Liberty St."
"304",227,607,"E. Liberty St.","Ann Arbor","",NA,NA,"607 E. Liberty St."
"305",228,808,"E. Liberty St.","Ann Arbor","",NA,NA,"808 E. Liberty St."
"306",1391,315,"E. Madison","Ann Arbor","",NA,NA,"315 E. Madison"
"307",245,316,"E. Madison St","Ann Arbor","",NA,NA,"316 E. Madison St"
"308",231,315,"E. Madison St.","Ann Arbor","",NA,NA,"315 E. Madison St."
"309",232,316,"E. Madison St.","Ann Arbor","",NA,NA,"316 E. Madison St."
